record_id,province,year,direction,counterparty_scope,river,amount_10k_cny,amount_status,source_id,evidence_grade,usable_for_province_year_model,usable_as_bilateral_p_ijt,notes
yunnan_chishui_contribution_2018,云南,2018,outflow,赤水河三省联合资金池,赤水河,2000,derived_actual_from_fixed_annual_schedule,ndrc_yunnan_chishui_2018_2020,B,yes,no,发改委披露云南2018至2020年已全额拨付0.6亿元；协议固定云南每年出资2000万元
yunnan_chishui_contribution_2019,云南,2019,outflow,赤水河三省联合资金池,赤水河,2000,derived_actual_from_fixed_annual_schedule,ndrc_yunnan_chishui_2018_2020,B,yes,no,发改委披露云南2018至2020年已全额拨付0.6亿元；协议固定云南每年出资2000万元
yunnan_chishui_contribution_2020,云南,2020,outflow,赤水河三省联合资金池,赤水河,2000,derived_actual_from_fixed_annual_schedule,ndrc_yunnan_chishui_2018_2020,B,yes,no,发改委披露云南2018至2020年已全额拨付0.6亿元；协议固定云南每年出资2000万元
