province,verified_inflow_10k_cny,verified_outflow_10k_cny,verified_net_inflow_10k_cny,inflow_event_count,outflow_event_count
云南,12550.0,0.0,12550.0,5,0
四川,0.0,5000.0,-5000.0,0,2
江西,1800.0,0.0,1800.0,2,0
湖南,0.0,3240.0,-3240.0,0,5
贵州,0.0,7550.0,-7550.0,0,3
重庆,1440.0,0.0,1440.0,3,0
