source_id,province,year,url,publisher,source_type,unit,follow_pdf,final_url,format,fetch_status,error,fetched_at_utc,sha256,text_length,pdf_links_found,accounts_extracted
sichuan_2024_final_accounts,四川,2024,https://czt.sc.gov.cn/scczt/c102361/2025/8/8/fe30cf15c7884610af3b4df051d1e662/files/%E9%99%84%E4%BB%B62%EF%BC%9A%E5%9B%9B%E5%B7%9D%E7%9C%812024%E5%B9%B4%E5%86%B3%E7%AE%97%20.pdf,四川省财政厅,provincial_final_accounts,万元,False,https://czt.sc.gov.cn/scczt/c102361/2025/8/8/fe30cf15c7884610af3b4df051d1e662/files/%E9%99%84%E4%BB%B62%EF%BC%9A%E5%9B%9B%E5%B7%9D%E7%9C%812024%E5%B9%B4%E5%86%B3%E7%AE%97%20.pdf,unknown,indexed_official_text,RuntimeError: network fetch skipped by --indexed-only,2026-07-27T11:09:24.991452+00:00,,0,,2
hunan_2024_final_accounts,湖南,2024,https://czt.hunan.gov.cn/czt/ztzl/hnczysgk/ysjsbg/202508/33775971/files/84d9d8f8b7c346acb11c7067d60e52ab.pdf,湖南省财政厅,provincial_final_accounts,亿元,False,https://czt.hunan.gov.cn/czt/ztzl/hnczysgk/ysjsbg/202508/33775971/files/84d9d8f8b7c346acb11c7067d60e52ab.pdf,unknown,indexed_official_text,RuntimeError: network fetch skipped by --indexed-only,2026-07-27T11:09:24.991452+00:00,,0,,1
chongqing_2024_final_accounts,重庆,2024,https://czj.cq.gov.cn/zwgk_268/fdzdgknr/ysjs/zfjs/202508/t20250813_14897562.html,重庆市财政局,provincial_final_accounts,万元,True,https://czj.cq.gov.cn/zwgk_268/fdzdgknr/ysjs/zfjs/202508/t20250813_14897562.html,unknown,error,RuntimeError: network fetch skipped by --indexed-only,2026-07-27T11:09:24.991452+00:00,,0,,0
