year,event_count,active_pair_count,total_amount_10k_cny
2018,2,2,4000.0
2019,2,2,1080.0
2020,2,2,1680.0
2021,1,1,3000.0
2022,1,1,480.0
2023,1,1,2550.0
2024,1,1,3000.0
