province,year,account,reported_value,reported_unit,amount_10k_cny,value_status,source_id,source_url,evidence_text
四川,2024,ecological_compensation_transfer_income,1667,万元,1667.0,reported_numeric_indexed_official_pdf,sichuan_2024_final_accounts,https://czt.sc.gov.cn/scczt/c102361/2025/8/8/fe30cf15c7884610af3b4df051d1e662/files/%E9%99%84%E4%BB%B62%EF%BC%9A%E5%9B%9B%E5%B7%9D%E7%9C%812024%E5%B9%B4%E5%86%B3%E7%AE%97%20.pdf,2024年四川省一般公共预算收支决算平衡表：区域间转移性收入334667万元，其中接受其他地区援助收入333000万元、生态保护补偿转移性收入1667万元。
四川,2024,ecological_compensation_transfer_expenditure,2550,万元,2550.0,reported_numeric_indexed_official_pdf,sichuan_2024_final_accounts,https://czt.sc.gov.cn/scczt/c102361/2025/8/8/fe30cf15c7884610af3b4df051d1e662/files/%E9%99%84%E4%BB%B62%EF%BC%9A%E5%9B%9B%E5%B7%9D%E7%9C%812024%E5%B9%B4%E5%86%B3%E7%AE%97%20.pdf,2024年四川省一般公共预算收支决算平衡表：区域间转移性支出3550万元，其中援助其他地区支出1000万元、生态保护补偿转移性支出2550万元。
湖南,2024,regional_transfer_expenditure_mixed_upper_bound,0.2,亿元,2000.0,mixed_total_not_usable_as_payment,hunan_2024_final_accounts,https://czt.hunan.gov.cn/czt/ztzl/hnczysgk/ysjsbg/202508/33775971/files/84d9d8f8b7c346acb11c7067d60e52ab.pdf,2024年湖南省一般公共预算支出决算总表：区域间转移性支出0.2亿元；附注说明该数同时包含支援其他地区救灾和兑现跨省生态保护补偿协议支出，无法单独拆分。
