province,basin_position_group,year,ammonia_nitrogen_discharge_t,cod_discharge_t,environmental_investment_100m_cny,forest_coverage_pct,gdp_100m_cny,general_budget_revenue_100m_cny,population_10k,secondary_industry_share_pct,surface_water_good_section_pct,wastewater_discharge_10k_t,water_resources_100m_m3,water_supply_100m_m3,water_use_100m_m3,verified_payment_inflow_100m_yuan,verified_payment_outflow_100m_yuan,verified_payment_net_100m_yuan
四川,upper,2022,,,,,,,,,,,,,,0.0,0.0,0.0
贵州,upper,2022,,,,,,,,,,,,,,0.0,0.0,0.0
云南,upper,2022,,,,,,,,,,,,,,0.0,0.0,0.0
上海,lower,2023,,,,,,,,,,,,,,0.0,0.0,0.0
江苏,lower,2023,,,,,,,,,,,,,,0.0,0.0,0.0
浙江,lower,2023,,,,,,,,,,,,,,0.0,0.0,0.0
安徽,lower,2023,,,,,,,,,,,,,,0.0,0.0,0.0
江西,middle,2023,,,,,,,,,,,,,,0.0,0.0,0.0
湖北,middle,2023,,,,,,,,,,,,,,0.0,0.0,0.0
湖南,middle,2023,,,,,,,,,,,,,,0.0,0.0,0.0
重庆,upper,2023,,,,,,,,,,,,,,0.0,0.0,0.0
四川,upper,2023,,,,,,,,,,,,,,0.0,0.0,0.0
贵州,upper,2023,,,,,,,,,,,,,,0.0,0.255,-0.255
云南,upper,2023,,,,,,,,,,,,,,0.255,0.0,0.255
上海,lower,2024,,,,,,,,,,,,,,0.0,0.0,0.0
江苏,lower,2024,,,,,,,,,,,,,,0.0,0.0,0.0
浙江,lower,2024,,,,,,,,,,,,,,0.0,0.0,0.0
安徽,lower,2024,,,,,,,,,,,,,,0.0,0.0,0.0
江西,middle,2024,,,,,,,,,,,,,,0.0,0.0,0.0
湖北,middle,2024,,,,,,,,,,,,,,0.0,0.0,0.0
湖南,middle,2024,,,,,,,,,,,,,,0.0,0.0,0.0
重庆,upper,2024,,,,,,,,,,,,,,0.0,0.0,0.0
四川,upper,2024,,,,,,,,,,,,,,0.0,0.0,0.0
贵州,upper,2024,,,,,,,,,,,,,,0.0,0.3,-0.3
云南,upper,2024,,,,,,,,,,,,,,0.3,0.0,0.3
